country	Andorra	42.546245	1.601554
country	United Arab Emirates	23.424076	53.847818
country	Afghanistan	33.93911	67.709953
country	Antigua and Barbuda	17.060816	-61.796428
country	Anguilla	18.220554	-63.068615
country	Albania	41.153332	20.168331
country	Armenia	40.069099	45.038189
country	Netherlands Antilles	12.226079	-69.060087
country	Angola	-11.202692	17.873887
country	Antarctica	-75.250973	-0.071389
country	Argentina	-38.416097	-63.616672
country	American Samoa	-14.270972	-170.132217
country	Austria	47.516231	14.550072
country	Australia	-25.274398	133.775136
country	Aruba	12.52111	-69.968338
country	Azerbaijan	40.143105	47.576927
country	Bosnia and Herzegovina	43.915886	17.679076
country	Barbados	13.193887	-59.543198
country	Bangladesh	23.684994	90.356331
country	Belgium	50.503887	4.469936
country	Burkina Faso	12.238333	-1.561593
country	Bulgaria	42.733883	25.48583
country	Bahrain	25.930414	50.637772
country	Burundi	-3.373056	29.918886
country	Benin	9.30769	2.315834
country	Bermuda	32.321384	-64.75737
country	Brunei	4.535277	114.727669
country	Bolivia	-16.290154	-63.588653
country	Brazil	-14.235004	-51.92528
country	Bahamas	25.03428	-77.39628
country	Bhutan	27.514162	90.433601
country	Bouvet Island	-54.423199	3.413194
country	Botswana	-22.328474	24.684866
country	Belarus	53.709807	27.953389
country	Belize	17.189877	-88.49765
country	Canada	56.130366	-106.346771
country	Cocos Keeling Islands	-12.164165	96.870956
country	Congo DR	-4.038333	21.758664
country	Central African Republic	6.611111	20.939444
country	Congo	-0.228021	15.827659
country	Switzerland	46.818188	8.227512
country	Côte d'Ivoire	7.539989	-5.54708
country	Cook Islands	-21.236736	-159.777671
country	Chile	-35.675147	-71.542969
country	Cameroon	7.369722	12.354722
country	China	35.86166	104.195397
country	Colombia	4.570868	-74.297333
country	Costa Rica	9.748917	-83.753428
country	Cuba	21.521757	-77.781167
country	Cape Verde	16.002082	-24.013197
country	Christmas Island	-10.447525	105.690449
country	Cyprus	35.126413	33.429859
country	Czech Republic	49.817492	15.472962
country	Germany	51.165691	10.451526
country	Djibouti	11.825138	42.590275
country	Denmark	56.26392	9.501785
country	Dominica	15.414999	-61.370976
country	Dominican Republic	18.735693	-70.162651
country	Algeria	28.033886	1.659626
country	Ecuador	-1.831239	-78.183406
country	Estonia	58.595272	25.013607
country	Egypt	26.820553	30.802498
country	Western Sahara	24.215527	-12.885834
country	Eritrea	15.179384	39.782334
country	Spain	40.463667	-3.74922
country	Ethiopia	9.145	40.489673
country	Finland	61.92411	25.748151
country	Fiji	-16.578193	179.414413
country	Falkland Islands Islas Malvinas	-51.796253	-59.523613
country	Micronesia	7.425554	150.550812
country	Faroe Islands	61.892635	-6.911806
country	France	46.227638	2.213749
country	Gabon	-0.803689	11.609444
country	United Kingdom	55.378051	-3.435973
country	Grenada	12.262776	-61.604171
country	Georgia	42.315407	43.356892
country	French Guiana	3.933889	-53.125782
country	Guernsey	49.465691	-2.585278
country	Ghana	7.946527	-1.023194
country	Gibraltar	36.137741	-5.345374
country	Greenland	71.706936	-42.604303
country	Gambia	13.443182	-15.310139
country	Guinea	9.945587	-9.696645
country	Guadeloupe	16.995971	-62.067641
country	Equatorial Guinea	1.650801	10.267895
country	Greece	39.074208	21.824312
country	South Georgia and the South Sandwich Islands	-54.429579	-36.587909
country	Guatemala	15.783471	-90.230759
country	Guam	13.444304	144.793731
country	Guinea-Bissau	11.803749	-15.180413
country	Guyana	4.860416	-58.93018
country	Gaza Strip	31.354676	34.308825
country	Hong Kong	22.396428	114.109497
country	Heard Island and McDonald Islands	-53.08181	73.504158
country	Honduras	15.199999	-86.241905
country	Croatia	45.1	15.2
country	Haiti	18.971187	-72.285215
country	Hungary	47.162494	19.503304
country	Indonesia	-0.789275	113.921327
country	Ireland	53.41291	-8.24389
country	Israel	31.046051	34.851612
country	Isle of Man	54.236107	-4.548056
country	India	20.593684	78.96288
country	British Indian Ocean Territory	-6.343194	71.876519
country	Iraq	33.223191	43.679291
country	Iran	32.427908	53.688046
country	Iceland	64.963051	-19.020835
country	Italy	41.87194	12.56738
country	Jersey	49.214439	-2.13125
country	Jamaica	18.109581	-77.297508
country	Jordan	30.585164	36.238414
country	Japan	36.204824	138.252924
country	Kenya	-0.023559	37.906193
country	Kyrgyzstan	41.20438	74.766098
country	Cambodia	12.565679	104.990963
country	Kiribati	-3.370417	-168.734039
country	Comoros	-11.875001	43.872219
country	Saint Kitts and Nevis	17.357822	-62.782998
country	North Korea	40.339852	127.510093
country	South Korea	35.907757	127.766922
country	Kuwait	29.31166	47.481766
country	Cayman Islands	19.513469	-80.566956
country	Kazakhstan	48.019573	66.923684
country	Laos	19.85627	102.495496
country	Lebanon	33.854721	35.862285
country	Saint Lucia	13.909444	-60.978893
country	Liechtenstein	47.166	9.555373
country	Sri Lanka	7.873054	80.771797
country	Liberia	6.428055	-9.429499
country	Lesotho	-29.609988	28.233608
country	Lithuania	55.169438	23.881275
country	Luxembourg	49.815273	6.129583
country	Latvia	56.879635	24.603189
country	Libya	26.3351	17.228331
country	Morocco	31.791702	-7.09262
country	Monaco	43.750298	7.412841
country	Moldova	47.411631	28.369885
country	Montenegro	42.708678	19.37439
country	Madagascar	-18.766947	46.869107
country	Marshall Islands	7.131474	171.184478
country	Macedonia [FYROM]	41.608635	21.745275
country	Mali	17.570692	-3.996166
country	Myanmar [Burma]	21.913965	95.956223
country	Mongolia	46.862496	103.846656
country	Macau	22.198745	113.543873
country	Northern Mariana Islands	17.33083	145.38469
country	Martinique	14.641528	-61.024174
country	Mauritania	21.00789	-10.940835
country	Montserrat	16.742498	-62.187366
country	Malta	35.937496	14.375416
country	Mauritius	-20.348404	57.552152
country	Maldives	3.202778	73.22068
